# BugBuster Current Measurement Log
# AD8411A supply: 5.0000 V
# Rsense: 100.000 mOhm  (gain=50.0)
# AD8411A IO_Block: 4 | DUT: BB IO_Block 1 (12.50 V)
# timestamp_unix,current_A,power_W
1780604058.803,2.013720572e-03,2.517151e-02
1780604058.850,1.985020936e-03,2.481276e-02
1780604058.941,1.985020936e-03,2.481276e-02
1780604058.959,1.985020936e-03,2.481276e-02
1780604059.015,1.985020936e-03,2.481276e-02
1780604059.086,1.985020936e-03,2.481276e-02
1780604059.194,1.989886165e-03,2.487358e-02
1780604059.212,1.989886165e-03,2.487358e-02
1780604059.410,1.966625452e-03,2.458282e-02
1780604059.427,1.966625452e-03,2.458282e-02
1780604059.616,1.958943903e-03,2.448680e-02
1780604059.633,1.958943903e-03,2.448680e-02
1780604059.727,1.958943903e-03,2.448680e-02
1780604059.751,1.958943903e-03,2.448680e-02
1780604059.809,1.958943903e-03,2.448680e-02
1780604059.853,1.941397786e-03,2.426747e-02
1780604059.940,1.941397786e-03,2.426747e-02
1780604059.961,1.941397786e-03,2.426747e-02
1780604060.015,1.941397786e-03,2.426747e-02
1780604060.079,1.941397786e-03,2.426747e-02
1780604060.148,2.002850175e-03,2.503563e-02
1780604060.424,2.002850175e-03,2.503563e-02
1780604060.622,1.945510507e-03,2.431888e-02
1780604060.645,1.945510507e-03,2.431888e-02
1780604060.731,1.945510507e-03,2.431888e-02
1780604060.747,1.945510507e-03,2.431888e-02
1780604060.797,1.945510507e-03,2.431888e-02
1780604060.852,1.945510507e-03,2.431888e-02
1780604060.952,1.947075129e-03,2.433844e-02
1780604060.978,1.947075129e-03,2.433844e-02
1780604061.050,1.947075129e-03,2.433844e-02
1780604061.086,1.947075129e-03,2.433844e-02
1780604061.152,1.984313130e-03,2.480391e-02
1780604061.208,1.984313130e-03,2.480391e-02
1780604061.254,1.984313130e-03,2.480391e-02
1780604061.335,1.984313130e-03,2.480391e-02
1780604061.355,1.984313130e-03,2.480391e-02
1780604061.437,1.958675683e-03,2.448345e-02
1780604061.475,1.958675683e-03,2.448345e-02
1780604061.651,1.956880093e-03,2.446100e-02
1780604061.690,1.956880093e-03,2.446100e-02
1780604061.762,1.956880093e-03,2.446100e-02
1780604061.805,1.956880093e-03,2.446100e-02
1780604061.873,1.956880093e-03,2.446100e-02
1780604061.941,1.990497112e-03,2.488121e-02
1780604061.967,1.990497112e-03,2.488121e-02
1780604062.010,1.990497112e-03,2.488121e-02
1780604062.083,1.990497112e-03,2.488121e-02
1780604062.152,1.990497112e-03,2.488121e-02
1780604062.187,1.977235079e-03,2.471544e-02
1780604062.273,1.977235079e-03,2.471544e-02
1780604062.340,1.977235079e-03,2.471544e-02
1780604062.385,1.977235079e-03,2.471544e-02
1780604062.408,2.009689808e-03,2.512112e-02
